platform_number,latitude,longitude,date,cycle_number,pressure,temperature,salinity
1901049,-6.403,58.243,,377,228.8000030517578,13.777999877929688,35.11199951171875
1901049,-6.403,58.243,,377,238.89999389648438,13.746999740600586,35.11199951171875
1901049,-6.403,58.243,,377,249.1999969482422,13.562000274658203,35.108001708984375
1901049,-6.403,58.243,,377,258.6000061035156,13.3100004196167,35.10300064086914
1901049,-6.403,58.243,,377,269.29998779296875,12.95199966430664,35.08000183105469
1901049,-6.403,58.243,,377,278.70001220703125,12.711999893188477,35.064998626708984
1901049,-6.403,58.243,,377,289.0,12.48900032043457,35.060001373291016
1901049,-6.403,58.243,,377,299.29998779296875,12.383999824523926,35.05500030517578
1901049,-6.403,58.243,,377,308.70001220703125,12.262999534606934,35.05099868774414
1901049,-6.403,58.243,,377,319.1000061035156,12.036999702453613,35.03900146484375
1901049,-6.403,58.243,,377,328.79998779296875,11.854999542236328,35.02399826049805
1901049,-6.403,58.243,,377,338.79998779296875,11.604999542236328,35.00600051879883
1901049,-6.403,58.243,,377,348.70001220703125,11.454999923706055,34.999000549316406
1901049,-6.403,58.243,,377,358.70001220703125,11.333999633789062,34.98699951171875
1901049,-6.403,58.243,,377,379.0,10.946999549865723,34.952999114990234
1901049,-6.403,58.243,,377,399.29998779296875,10.777000427246094,34.94499969482422
1901049,-6.403,58.243,,377,448.79998779296875,10.11400032043457,34.888999938964844
1901049,-6.403,58.243,,377,498.70001220703125,9.675999641418457,34.87799835205078
1901049,-6.403,58.243,,377,549.0,9.255000114440918,34.847999572753906
1901049,-6.403,58.243,,377,599.0999755859375,8.979999542236328,34.858001708984375
1901049,-6.403,58.243,,377,649.2999877929688,8.232999801635742,34.77199935913086
1901049,-6.403,58.243,,377,698.7999877929688,7.783999919891357,34.77399826049805
1901049,-6.403,58.243,,377,748.7999877929688,7.781000137329102,34.82600021362305
1901049,-6.403,58.243,,377,799.0,7.165999889373779,34.77799987792969
1901049,-6.403,58.243,,377,849.2000122070312,6.855000019073486,34.78799819946289
1901049,-6.403,58.243,,377,899.2000122070312,6.64300012588501,34.82500076293945
1901049,-6.403,58.243,,377,949.2000122070312,6.539999961853027,34.81800079345703
1901049,-6.403,58.243,,377,999.2999877929688,6.14900016784668,34.82600021362305
1901049,-6.403,58.243,,377,1049.199951171875,5.807000160217285,34.819000244140625
1901049,-6.403,58.243,,377,1098.800048828125,5.683000087738037,34.82099914550781
1901049,-6.403,58.243,,377,1148.9000244140625,5.394999980926514,34.8120002746582
1901049,-6.403,58.243,,377,1198.699951171875,5.309000015258789,34.81800079345703
1901049,-6.403,58.243,,377,1220.5,5.216000080108643,34.819000244140625
1901290,-61.2951,63.3505,,247,5.199999809265137,-0.17599999904632568,33.638999938964844
1901290,-61.2951,63.3505,,247,10.199999809265137,-0.2029999941587448,33.64400100708008
1901290,-61.2951,63.3505,,247,16.100000381469727,-0.210999995470047,33.5989990234375
1901290,-61.2951,63.3505,,247,21.399999618530273,-0.25699999928474426,33.53900146484375
1901290,-61.2951,63.3505,,247,26.799999237060547,-0.43700000643730164,33.52899932861328
1901290,-61.2951,63.3505,,247,32.099998474121094,-0.597000002861023,33.58700180053711
1901290,-61.2951,63.3505,,247,37.5,-0.6729999780654907,33.50699996948242
1901290,-61.2951,63.3505,,247,42.900001525878906,-0.9169999957084656,33.50299835205078
1901290,-61.2951,63.3505,,247,48.29999923706055,-1.4609999656677246,33.8390007019043
1901290,-61.2951,63.3505,,247,52.5,-1.5989999771118164,33.97700119018555
1901290,-61.2951,63.3505,,247,59.5,-1.6050000190734863,34.060001373291016
1901290,-61.2951,63.3505,,247,63.900001525878906,-1.5640000104904175,34.10599899291992
1901290,-61.2951,63.3505,,247,68.19999694824219,-1.4910000562667847,34.14899826049805
1901290,-61.2951,63.3505,,247,72.5999984741211,-1.4329999685287476,34.18000030517578
1901290,-61.2951,63.3505,,247,77.0999984741211,-1.3819999694824219,34.28499984741211
1901290,-61.2951,63.3505,,247,84.30000305175781,-1.1440000534057617,34.417999267578125
1901290,-61.2951,63.3505,,247,89.69999694824219,-0.800000011920929,34.37900161743164
1901290,-61.2951,63.3505,,247,94.30000305175781,-0.6190000176429749,34.41299819946289
1901290,-61.2951,63.3505,,247,98.9000015258789,-0.3779999911785126,34.4630012512207
1901290,-61.2951,63.3505,,247,108.9000015258789,0.38499999046325684,34.45800018310547
1901290,-61.2951,63.3505,,247,118.9000015258789,0.6690000295639038,34.54800033569336
1901290,-61.2951,63.3505,,247,129.10000610351562,1.1859999895095825,34.518001556396484
1901290,-61.2951,63.3505,,247,139.1999969482422,1.3899999856948853,34.534000396728516
1901290,-61.2951,63.3505,,247,149.5,1.6729999780654907,34.49800109863281
1901290,-61.2951,63.3505,,247,157.10000610351562,1.7029999494552612,34.52899932861328
1901290,-61.2951,63.3505,,247,168.39999389648438,1.7790000438690186,34.529998779296875
1901290,-61.2951,63.3505,,247,178.6999969482422,1.8250000476837158,34.542999267578125
1901290,-61.2951,63.3505,,247,189.3000030517578,1.8760000467300415,34.55799865722656
1901290,-61.2951,63.3505,,247,199.6999969482422,1.9040000438690186,34.560001373291016
1901290,-61.2951,63.3505,,247,207.10000610351562,1.9199999570846558,34.56100082397461
